 What is the main component of ratemaking?,Losses,
What do pricing actuaries do?,Pricing actuaries set rates.,
What needs to be done with losses for ratemaking purposes?,"For ratemaking purposes, losses need to be aggregated, developed, and trended.",
What are the four common methods to aggregate loss data?,"The four common methods to aggregate loss data are calendar year, accident year, policy year, and report year.",
What does calendar year aggregation consider?,Calendar year aggregation considers all loss transactions that occur in a twelve-month calendar year from January 1 to December 31.,
What does accident year aggregation consider?,Accident year aggregation considers all loss transactions for accidents that occur within a twelve-month period.What is policy year aggregation?,Policy year aggregation considers all loss transactions for policies that are issued within a twelve-month period regardless of the accident occurrence date or the claim report date.
What is accident year aggregation?,Accident year aggregation considers all loss transactions that occur within a twelve-month period regardless of the policy issuance date or the claim report date.,
What time frame can the twelve-month period for accident year and policy year aggregation be?,"The twelve-month period for accident year and policy year aggregation can be any period that is twelve months long, e.g. May 1 to April 30. Unless stated otherwise, the default is to assume January 1 to December 31 during the exam.",
What does  and  represent?,"  and  represent the paid losses and incurred losses, respectively, for a certain time period.",
How are losses aggregated for the calendar year?,"For calendar year aggregation, the calendar year paid losses equal the sum of losses paid throughout the year. Then, the calendar year incurred losses equal the sum of the calendar year paid losses and the change in reserves during the year.I'm sorry but the text you provided is not clear enough to generate flashcards. Could you please provide a clear question and answer pair that you'd like me to format into flashcards?What insurance company is mentioned in the text?",Sigma Insurance Company
When was the auto policy issued by Sigma Insurance Company?,1-Jul-15,
When was a claim on this policy reported?,2-Feb-16,
When was the first transaction for this claim?,15-Feb-16,
What was the case reserve on the first transaction date?,"1,000",
When was the second transaction for this claim?,15-Nov-16,
What was the case reserve on the second transaction date?,"2,600",
When was the third transaction for this claim?,1-Mar-17,
What was the case reserve on the third transaction date?,"2,100",
When was the fourth transaction for this claim?,1-Aug-17,
What was the case reserve on the fourth transaction date?,"1,100",
When was the fifth transaction for this claim?,1-Dec-17,
What was the case reserve on the fifth transaction date?,"3,000",
What type of policies does Sigma Insurance Company write?,Annual insurance policies,
What is the assumption about the number of claims reported to Sigma Insurance Company?,This is the only claim reported,
"What is the reserve on January 1, 2015?",Zero.Year,
"The policy is effective in 2015.  So, all loss transactions related to this claim will",,
"contribute to PY2015.  Nothing is paid in 2015,  but by the end of 2015, the",,
"case reserve is zero.  Thus, as of 12/31/2015:",,
"As of 12/31/2017, the company has paid a total of 1,500,  and the case reserve is",,
"3,000.  Therefore, the incurred loss for PY2015 as of 12/31/2017 is:",,
,,
What are the case reserves at the end of 2015 and 2016 used for?, They are used to calculate the change in reserves.,
What are the case reserves at the end of 2016 and 2017 for AY2016?," At the end of 2016, the case reserve is 2,600. At the end of 2017, the case reserve is 3,000.",
